определённый артикль;the
медикамент;drug
экономический;economic
ситуация;situation
выбирать;choose
практика;practice
причина;cause
счастливый;happy
наука;science
присоединиться;join
учить;teach
развивать;develop
делиться;share
сам;yourself
нести;carry
понятно;clear
брат;brother
дело;matter
мертвый;dead
изображение;image
звезда;star
стоимость;cost
просто;simply
пост;post
общество;society
изображение;picture
кусок;piece
бумага;paper
энергия;energy
личный;personal
здание;building
военный;military
врач;doctor
деятельность;activity
именно;exactly
средства массовой информации;media
мисс;miss
доказательства;evidence
продукт;product
осознавать;realize
сохранить;save
рука;arm
технология;technology
ловить;catch
комментарий;comment
срок;term
цвет;color
покрытие;cover
описывать;describe
догадываться;guess
выбор;choice
источник;source
мама;mom
скоро;soon
директор;director
международный;international
правило;rule
кампания;campaign
земля;ground
выборы;election
ух;uh
проверять;check
страница;page
битва;fight
сам;itself
тест;test
терпеливый;patient
производить;produce
определенный;certain
что угодно;whatever
половина;half
видео;video
бросать;throw
третий;third
остальное;rest
недавний;recent
доступный;available
шаг;step
готовый;ready
возможность;opportunity
официальный;official
масло;oil
организация;organization
характер;character
одиночный;single
текущий;current
возможный;likely
округ;county
будущее;future
папа;dad
чья;whose
стрелять;shoot
промышленность;industry
список;list
главный;general
материал;stuff
фигура;figure
внимание;attention
забывать;forget
рисковать;risk
сосредоточить;focus
короткий;short
огонь;fire
собака;dog
красный;red
шерсть;hair
состояние;condition
стена;wall
дочь;daughter
сделка;deal
автор;author
правда;truth
на;upon
муж;husband
период;period
серия;series
приказ;order
офицер;officer
закрывать;close
земля;land
записка;note
компьютер;computer
мысль;thought
экономика;economy
цель;goal
банк;bank
поведение;behavior
звук;sound
конечно;certainly
приблизительно;nearly
увеличение;increase
действие;act
северный;north
кровь;blood
культура;culture
медицинский;medical
ОК;ok
все;everybody
верхний;top
трудный;difficult
язык;language
окно;window
ответ;response
население;population
ложь;lie
дерево;tree
парк;park
работник;worker
рисовать;draw
капля;drop
толкать;push
земля;earth
по;per
частный;private
сегодняшний вечер;tonight
гонка;race
письмо;letter
пушка;gun
простой;simple
удивляться;wonder
вовлекать;involve
ад;hell
бедный;poor
ответ;answer
природа;nature
администрация;administration
общий;common
сообщение;message
песня;song
наслаждаться;enjoy
схожий;similar
конгресс;congress
атака;attack
прошлое;past
горячий;hot
искать;seek
сумма;amount
анализ;analysis
магазин;store
защита;defense
законопроект;bill
ячейка;cell
представление;performance
больница;hospital
кровать;bed
доска;board
защищать;protect
век;century
лето;summer
материал;material
индивидуальный;individual
недавно;recently
пример;example
представлять;represent
заполнять;fill
животное;animal
потерпеть неудачу;fail
фактор;factor
естественный;natural
сэр;sir
агентство;agency
обычно;usually
существенный;significant
способность;ability
миля;mile
заявление;statement
весь;entire
демократ;democrat
этаж;floor
серьезный;serious
карьера;career
доллар;dollar
голос;vote
пол;sex
сравнивать;compare
юг;south
вперед;forward
предмет;subject
финансовый;financial
идентифицировать;identify
красивый;beautiful
десятилетие;decade
немного;bit
уменьшить;reduce
сестра;sister
качество;quality
быстро;quickly
нажимать;press
беспокоиться;worry
принимать;accept
входить;enter
упоминать;mention
таким образом;thus
растение;plant
движение;movement
сцена;scene
раздел;section
лечение;treatment
желание;wish
выгода;benefit
интересный;interesting
запад;west
кандидат;candidate
подход;approach
определять;determine
ресурс;resource
претензия;claim
доказывать;prove
сортировать;sort
размер;size
кто-то;somebody
знание;knowledge
скорее;rather
вешать;hang
спорт;sport
ТВ;tv
потеря;loss
спорить;argue
левый;left
встреча;meeting
навык;skill
карта;card
чувство;feeling
несмотря на;despite
степень;degree
преступление;crime
знак;sign
происходить;occur
воображать;imagine
рядом;near
король;king
коробка;box
подарок;present
семь;seven
иностранный;foreign
смеяться;laugh
болезнь;disease
леди;lady
за;beyond
обсуждать;discuss
заканчивать;finish
дизайн;design
беспокойство;concern
мяч;ball
Восток;east
распознавать;recognize
применять;apply
подготовить;prepare
сеть;network
огромный;huge
успех;success
район;district
чашка;cup
физический;physical
рост;growth
подъем;rise
привет;hi
стандарт;standard
вентилятор;fan
теория;theory
персонал;staff
ранить;hurt
законный;legal
сентябрь;september
снаружи;outside
и;et
стратегия;strategy
ясно;clearly
собственность;property
класть;lay
окончательный;final
авторитет;authority
идеальный;perfect
метод;method
регион;region
влияние;impact
указывать;indicate
безопасный;safe
комитет;committee
предполагаемый;supposed
мечта;dream
обучение;training
дрянь;shit
центральный;central
вариант;option
восемь;eight
в частности;particularly
полностью;completely
мнение;opinion
главный;main
десять;ten
интервью;interview
существовать;exist
удалить;remove
темный;dark
объединение;union
профессор;professor
давление;pressure
цель;purpose
этап;stage
синий;blue
сама;herself
солнце;sun
боль;pain
художник;artist
работник;employee
избегать;avoid
счет;account
освобождать;release
фонд;fund
окружающая среда;environment
лечить;treat
специфический;specific
версия;version
выстрел;shot
ненавидеть;hate
реальность;reality
посетить;visit
клуб;club
справедливость;justice
речной;river
мозг;brain
память;memory
рок;rock
камера;camera
глобальный;global
различный;various
прибывать;arrive
уведомление;notice
деталь;detail
вызов;challenge
аргумент;argument
никто;nobody
оружие;weapon
станция;station
остров;island
абсолютно;absolutely
вместо;instead
обсуждение;discussion
влиять;affect
в любом случае;anyway
откликнуться;respond
беда;trouble
разговор;conversation
управлять;manage
дата;date
армия;army
заряжать;charge
сиденье;seat
предполагать;assume
писатель;writer
выполнять;perform
кредит;credit
зеленый;green
брак;marriage
операция;operation
действительно;indeed
сон;sleep
необходимый;necessary
раскрыть;reveal
агент;agent
доступ;access
бар;bar
дискуссия;debate
нога;leg
содержать;contain
бить;beat
крутой;cool
демократический;democratic
простуда;cold
стекло;glass
улучшать;improve
совершеннолетний;adult
торговля;trade
религиозный;religious
обзор;review
адрес;address
ассоциация;association
мера;measure
склад;stock
газ;gas
глубокий;deep
юрист;lawyer
производство;production
относиться;relate
средний;middle
управление;management
оригинал;original
жертва;victim
рак;cancer
речь;speech
определенный;particular
пробный;trial
никто;none
пункт;item
вес;weight
завтра;tomorrow
положительный;positive
гражданин;citizen
поездка;trip
установить;establish
исполнительный;executive
политика;politics
придерживаться;stick
покупатель;customer
менеджер;manager
публиковать;publish
популярный;popular
петь;sing
впереди;ahead
конференция;conference
весь;total
обнаруживать;discover
быстрый;fast
направление;direction
воскресенье;sunday
поддерживать;maintain
большинство;majority
мир;peace
обед;dinner
партнер;partner
пользователь;user
выше;above
летать;fly
сумка;bag
следовательно;therefore
богатый;rich
жесткий;tough
владелец;owner
должны;shall
внутри;inside
избиратель;voter
инструмент;tool
июнь;june
гора;mountain
диапазон;range
тренер;coach
страх;fear
пятница;friday
адвокат;attorney
если не;unless
ни;nor
эксперт;expert
структура;structure
бюджет;budget
страхование;insurance
текст;text
свобода;freedom
сумасшедший;crazy
читатель;reader
стиль;style
март;march
машина;machine
ноябрь;november
